latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
48.351052,-1.204097,tower,yes,PA00090578,Q22926754,Tour Ravelin,1926-10-14 ,
48.648464,-2.007374,building,20C,PA35000040,Q13518332,Maison du Peuple,2011-11-16 ,fr:Maison du Peuple de Saint-Malo
47.652169,-2.078175,,17C,PA00090665,Q22927004,Ancien couvent des Calvairiennes,,fr:Couvent des Calvairiennes de Redon
48.12361,-1.2115,building,18C,PA35000007,Q22976879,Hôtel de Sévigné,1997-12-19 ,
48.092187,-1.844448,castle,17C,PA35000057,Q22976937,Château de la Villedubois,2014-07-10 ,
48.12416,-1.21107,building,,PA00090953,Q22991837,,1926-11-05 ,
48.650649,-2.024338,building,,PA00090865,Q22991601,,1946-02-14 ,
48.111666,-1.678333,building,18C,PA00090718,Q20202328,,1959-11-24 ,
48.638751,-2.159586,,,PA00090767,Q3592997,Ile Agot renfermant des sites protohistoriques,1975-06-13 ,fr:Île Agot
48.211062,-1.793851,castle,17C,PA00090582,Q2968503,Château de Beauvais,2009-06-12 ,fr:Château de Beauvais (Gévezé)
48.67,-2.0829,lighthouse,yes,PA35000043,Q3378520,Phare du Grand-Jardin,2012-10-03 ,fr:Phare du Grand Jardin
48.111389,-1.682222,building,18C,PA00090686,Q3145754,"Hôtel de Blossac, actuellement Direction régionale des affaires culturelles",1947-12-27 ,fr:Hôtel de Blossac
48.353429,-1.202359,tower,yes,PA00090574,Q22926751,Tour du Four,1926-12-15 ,
48.6343,-2.0184,building,17C,PA00090853,Q22991513,,1951-05-23 ,
48.12444,-1.21528,castle,11C,PA00090896,Q2418225,,,fr:Château de Vitré
48.546327,-1.746799,castle,manor,PA00090545,Q22926666,"Manoir des Beauvais, actuellement Maison des Jeunes et de la Culture",1963-02-04 ,fr:Manoir des Beauvais
48.646519,-2.025092,building,18C,PA00090847,Q22991473,,1942-01-31 ,
48.142113,-1.189074,,17C,PA00090970,Q22927111,Ensemble de La Mare-aux-Hupins,1992-06-05 ,
48.12446,-1.213388,building,,PA00090908,Q22991732,,1926-11-05 ,
48.673853,-1.966594,building,16C,PA00090821,Q2602923,"Maison de Jacques Cartier, dite Les Portes Cartier",1940-02-21 ,fr:Manoir de Limoëlou
48.652778,-2.06944448,,17C,PA00090540,Q3593087,Ile Harbour et son fort,1952-06-04 ,fr:Île Harbour
48.407949,-1.348824,castle,17C,PA00090769,Q2971318,"Château de Saint-Brice, dit autrefois château de la Motte",1975-10-31 ,fr:Château de la Motte (Saint-Brice-en-Coglès)
48.606147,-1.997656,castle,18C,PA00090802,Q3284594,"Château du Boscq, à Saint-Servan",1994-10-19 ,fr:Malouinière du Bosc
48.12389,-1.213262,building,15C,PA00090916,Q22991765,,1926-11-05 ,
48.12458,-1.20765,building,,PA00090943,Q22991822,,1942-11-16 ,
47.675574,-2.050431,yes,13C,PA00090874,Q22991627,Chapelle Saint-Jean-d'Apileur,1990-01-25 ,fr:Chapelle Saint-Jean-d'Apileur
47.777413,-2.074474,castle,manor,PA35000005,Q22976877,Manoir de la Cour de Sixt,2000-02-25 ,
48.1256206,-1.8177545,wayside_cross,15C,PA00090600,Q22926839,Calvaire du bourg,1946-02-27 ,fr:Calvaire de L'Hermitage
48.049621,-1.900603,,,PA35000009,Q22976883,Site gallo-romain de la Bouexière,2000-03-14 ,fr:Site gallo-romain de la Bouexière
48.12463,-1.2072,building,17C,PA00090946,Q22991828,,1943-06-25 ,
48.111944,-1.677778,,18C,PA00090752,Q3390720,Place du Parlement de Bretagne,1942-10-29 ,fr:Place du Parlement-de-Bretagne
48.244725,-1.773262,castle,18C,PA35000006,Q22976878,Château de la Villouyère,1997-08-27 ,
48.648611,-2.024911,building,,PA00090855,Q22991529,,1946-02-14 ,
48.12404,-1.21101,building,,PA00090954,Q22991838,,1926-11-05 ,
48.12455,-1.20789,building,15C,PA00090940,Q22991818,,1966-01-31 ,
47.845005,-2.097723,place_of_worship, 4C,PA00090535,Q22926619,Temple romano-celtique heptagonal,1978-09-06 ,fr:Temple romano-celtique heptagonal
48.123926,-1.213421,building,15C,PA00090917,Q22991770,,1926-11-05 ,
48.048358,-1.868292,wayside_cross,16C,PA00090510,Q22926596,Croix de l'ancien cimetière,1933-05-08 ,fr:Croix de cimetière de Bréal-sous-Montfort
48.650625,-2.025019,building,17C,PA00090829,Q22991321,,1946-02-14 ,
47.765057,-1.985017,archaeological_site,tumulus,PA00090793,Q1090350,"Tumulus surmonté de menhirs, dit le Château Bû",1975-02-28 ,fr:Tumulus du Château Bû
48.012778,-1.711111,,19C,PA00090662,Q3314845,Mine de plomb,1985-11-15 ,fr:Mine de Pont-Péan
48.625481,-2.054127,,14C,PA00090543,Q22926655,Ancien prieuré,1942-12-04 ,fr:Ancien prieuré de Dinard
48.3404,-1.8923,castle,manor,PA35000044,Q22976913,Manoir situé dans le bourg,2012-09-20 ,fr:Manoir de Trimer
48.176103,-1.852783,wayside_cross,15C,PA00090534,Q22926618,Croix en granit du 15e siècle,1907-03-10 ,fr:Croix de cimetière de Clayes
48.646736,-2.025394,building,18C,PA00090867,Q22991608,,1946-02-14 ,
48.163717,-2.048457,castle,manor,PA35000027,Q22976897,Manoir de Quénétain,2005-09-26 ,
48.111111,-1.675278,,18C,PA00090687,Q3145804,Ancien hôtel de Boisgeffroi,1967-01-18 ,
48.646159,-2.027149,building,18C,PA00090863,Q22991587,,1942-01-31 ,
48.650286,-2.026919,building,,PA00090859,Q22991560,,1946-02-14 ,
48.064494,-1.502037,castle,manor,PA00090646,Q22926990,Manoir de Boisorcant,,fr:Manoir de Boisorcant
48.12461,-1.20752,building,17C,PA00090944,Q22991824,,1966-01-31 ,
48.681841,-1.942644,castle,17C,PA00090771,Q22991041,Château de Lupin,1944-07-24 ,
48.111128,-1.684025,building,,PA00090736,Q22927043,Maison dite de la Chouette,1946-08-01 ,
48.672373,-1.960223,,18C,PA00090969,Q22927098,Malouinière de la Grande Gâtinais,1992-06-05 ,
48.574062,-1.687158,,,PA00090765,Q22991036,Hemicycle mégalithique dit Les Tombes,1966-10-24 ,fr:Champ des Tombes
48.111944,-1.676944,building,17C,PA00090699,Q15950728,Hôtel de la Moussaye,,fr:Hôtel de la Moussaye
48.64634,-2.026159,building,18C,PA00090851,Q22991498,,1946-02-14 ,
