latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
43.0925,-0.9768,,,PA00084308,Q22920544,Dix tumuli d'Ibarletta,1960-06-16 ,
43.324444,-1.511768,,19C,PA00084574,Q22920916,"Redoute de Kamietako-Borda, dite aussi d'Harismendi",1992-08-12 ,
42.972158,-0.392482,,19C,PA64000044,Q22997636,Ancien hôtel des Princes,2002-11-28 ,
43.094751,-0.717207,,17C,PA00084315,Q22920553,Ancienne abbaye laïque,1968-10-28 ,
43.456815,-0.742401,castle,16C,PA00084362,Q22920600,Château de Brassalay,1937-05-07 ,
43.30569,-1.01021,,,PA00084349,Q22920592,Gué sur la Bidouze,1986-12-12 ,
43.483497,-1.55978,,20C,PA00084559,Q2941116,Casino municipal,1992-10-07 ,fr:Casino municipal de Biarritz
43.48793,-0.77239,building,18C,PA00084474,Q22920800,Hôtel de La Belle Hôtesse,1973-07-12 ,
43.348362,-1.608628,,19C,PA00084570,Q22920909,Redoute de Biscarzoun (également sur commune de Saint-Pée-sur-Nivelle),1992-12-31 ,fr:Fortifications de la Rhune à l'époque contemporaine
43.24733,-1.16561,yes,12C,PA64000048,Q22997640,Chapelle Saint-Cyprien d'Ascombéguy,2003-08-21 ,
43.155684,-1.242608,,19C,PA00084575,Q22920918,Redoute de Kurutchamendy,1992-12-31 ,
43.199267,-0.109788,,16C,PA64000064,Q22997659,Domaine de Meyracq,2006-02-27 ,
43.3972,-1.4551,castle,19C,PA64000082,Q22980088,Château Lota,2013-10-08 ,
43.166537,-0.230075,,16C,PA00084381,Q22920624,Domaine du château de Coarraze,2011-06-24 ,
43.387759,-1.666085,building,18C,PA64000058,Q22997653,Maison Saint-Martin,2005-12-05 ,fr:Maison Saint-Martin
43.359759,-1.555493,,19C,PA64000021,Q22997618,Redoute napoléonienne d'Ibarartéa,1997-11-18 ,
43.351034,-0.793247,building,18C,PA64000050,Q22997642,Maison du Laussat,2003-11-12 ,
43.344047,-1.752266,,,PA64000015,Q22997600,Redoute dite Redoute Louis XIV,,fr:Fortifications de la Rhune à l'époque contemporaine
43.249921,-0.301126,castle,17C,PA00084324,Q22920564,,,
43.486595,-0.769791,,18C,PA64000045,Q22997637,"Ancien hôtel particulier, ancien couvent de la Visitation",2002-11-28 ,
43.4902,-1.4778,building,14C,PA00084338,Q22920579,Maison Saubist,1927-12-29 ,
43.4913,-1.477,building,14C,PA00084340,Q22920582,,1988-02-01 ,
43.119326,-0.04799,,19C,PA00135469,Q22976128,Bergerie Sainte-Bernadette,1995-07-10 ,
42.971833,-0.059639,,14C,PA00095344,Q15940476,Restes du château,1927-03-14 ,fr:Château de Beaucens
43.467711,0.042261,castle,18C,PA00135472,Q22976131,,1995-12-06 ,
43.209528,-0.011086,,,PA00095334,Q22939896,Ancien lavoir,1979-03-30 ,
42.975834,-0.085685,yes,16C,PA00095414,Q22939959,Chapelle Notre-Dame de Piétat,1935-04-01 ,
43.206849,0.504011,,14C,PA00095401,Q22939947,"Ancienne maison de pèlerins, dite Manoir de Garaison",1973-07-12 ,
43.0559,0.5413,,,PA00095433,Q22939977,Grotte,1953-04-24 ,
42.983714,-0.060285,castle,manor,PA65000006,Q22997671,Manoir de Cohitte,1998-01-19 ,
43.578858,-0.059432,,19C,PA00095452,Q22939993,Domaine de Laborie,1992-07-02 ,
42.843163,0.336668,yes,11C,PA00095441,Q2956959,Chapelle d'Agos,1863-05-19 ,fr:Chapelle Saint-Pierre d'Agos
43.236648,0.093826,archaeological_site,roman_villa,PA00132680,Q22969332,Villa Oustau,1994-08-26 ,
42.976,0.5742,,,PA00095355,Q2971474,Vestiges du château des Comtes de Comminges,1950-12-13 ,fr:Château des Comtes de Comminges de Bramevaque
43.103909,-0.160203,,19C,PA65000013,Q22997679,Ancien petit séminaire,2008-08-14 ,
43.233272,0.068128,,18C,PA65000014,Q3146097,Préfecture des Hautes-Pyrénées,2008-08-14 ,fr:Hôtel de préfecture des Hautes-Pyrénées
43.0757,0.3557,archaeological_site,tumulus,PA00095330,Q22939891,Tumulus,1970-01-26 ,
42.9556,0.6346,yes,12C,PA00095418,Q2956888,Chapelle Saint-Julien,1979-03-30 ,fr:Chapelle Saint-Julien de Saléchan
43.387922,0.053443,,18C,PA00095440,Q22939985,Ancien hôtel de Journet,1977-11-21 ,
43.081278,0.383443,building,16C,PA00095341,Q22939903,Maison dite maison Latour,1983-02-21 ,
43.2341,-0.0183,archaeological_site,fortification,PA00095380,Q22939932,Oppidum du Casterat,1984-12-26 ,
43.09051,-0.04699,,19C,PA00095448,Q22939988,Ancien four a chaux,1990-10-05 ,
43.0328,0.3458,,,PA00095383,Q3117262,Grotte dite de Labastide ou des Chevaux,1983-08-03 ,fr:Grottes de Labastide
42.9883,-0.10515,place_of_worship,christian,PA00095313,Q22939874,,1979-03-21 ,
43.0039,-0.102,castle,15C,PA00095314,Q22939876,Château d'Ourout,1995-12-06 ,
42.95142,-0.034799,,11C,PA00095445,Q22939987,Ancien prieuré de Saint-Orens-en-Lavedan,,
42.965548,0.378068,city_gate,16C,PA00095422,Q3398976,Porte de défense dite Tour de la Prison,1941-12-29 ,fr:Porte Sainte-Quitterie (Sarrancolin)
43.169,0.4829,archaeological_site,tumulus,PA00095316,Q22939878,Tumulus,1968-06-26 ,
43.0835,0.3651,archaeological_site,tumulus,PA00095331,Q22939892,Tumulus,1970-01-26 ,
43.1072,0.4166,archaeological_site,tumulus,PA00095388,Q22939937,Tumulus T1 et T2,1971-01-06 ,
43.56891,-0.025223,castle,,PA00095362,Q22939918,Château de Montus,1988-06-28 ,
