latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
46.581547,0.35043640000004,building,C15,PA00105635,Q22956369,,3,1931-02-02 ,
46.6823326,0.57264089,place_of_worship,christian,PA00105356,Q22955811,Église Saint-Pierre,2,1910-02-24 ,
46.3767,0.4104,place_of_worship,christian,PA00105702,Q3583121,Église Saint-Maurice,,,fr:Église Saint-Maurice de Saint-Maurice-la-Clouère
46.658446,0.076285,castle,C15,PA86000010,Q22999081,,3,1999-12-21 ,
46.5770895,0.33987309999998,building,C16,PA00105628,Q22956341,,3,1956-08-30 ,
46.913074,0.700175,castle,C17,PA00105492,Q22956028,,3,1934-03-26 ,
47.083363,-0.0279,archaeological_site,megalith,PA00105696,Q22956560,Dolmen,2,1955-10-26 ,
46.7340517,0.27646064,,C17,PA86000025,Q22999110,Logis du Fort,3,2004-06-15 ,
46.840372,0.455951,castle,C15,PA00105741,Q22956603,Château de la Massardière,,,
46.490521,0.83859,yes,C15,PA00105476,Q22955986,Chapelle,2,1908-03-07 ,
46.69331,0.88421,,,PA00105323,Q3437324,Abri du Roc aux Sorciers,2,1955-01-18 ,fr:Roc-aux-Sorciers
46.462671825468,0.96671372652054,,C12,PA00105478,Q22955989,Ancienne église,3,1935-03-13 ,
46.399219,0.972612,,,PA00105699,Q22956563,Vestiges gallo-romains de Mazamas,2,1973-08-16 ,
46.82485,0.420938,castle,C16,PA00105726,Q15944473,Château des Robinières,3,1984-06-27 ,fr:Château des Robinières
46.2073,0.1637,place_of_worship,christian,PA00105406,Q3583841,Église Saint-Pierre,3,1987-03-06 ,fr:Église Saint-Pierre de Chaunay
46.912,0.219501,,C15,PA86000041,Q22999133,Ancienne maison forte de Crouailles,3,2010-05-28 ,
46.5690251,0.64529657,place_of_worship,christian,PA00105412,Q22955873,Église Notre-Dame,2,1840 ,
46.330493,0.872348,wayside_cross,C13,PA00105580,Q22956234,Croix de cimetière et caveaux,2,1917-06-02 ,
46.3596,0.0565,place_of_worship,christian,PA00105707,Q3584300,Église Saint-Romain,2,1979-07-20 ,fr:Église Saint-Romain de Saint-Sauvant
46.826426,0.232199,castle,C15,PA00105438,Q22955900,Château de la Tour-de-Ry ou Tourderie,,,
46.5111,0.6403,,,PA00105751,Q3003670,,3,1986-10-08 ,fr:Croix hosannière de Valdivienne
46.837426,0.205913,place_of_worship,christian,PA00105439,Q22955901,Église Notre-Dame,3,1952-10-12 ,
